id,group,phase,priority,title,year,type,topic,why_it_matters,local_path,url,status,next_action
P01,classic,1,high,CHI RTI Highlight Capture Guide,,paper,RTI capture,"H-RTI入门必读，理解相机固定、反光球、移动光源和元数据",papers/01_CHI_RTI_Highlight_Capture_Guide.pdf,https://culturalheritageimaging.org/What_We_Offer/Downloads/Process/,downloaded,精读并提取采集SOP
P02,classic,1,high,Reflectance Transformation Imaging Systems for Ancient Documentary Artefacts,2011,paper,RTI systems,"把RTI理解为文物记录系统而不是单个算法",papers/02_Earl_2011_RTI_Systems_Ancient_Documentary_Artefacts.pdf,,downloaded,精读系统设计和记录字段
P03,classic,1,high,Polynomial Texture Maps,2001,paper,PTM theory,"PTM源头论文，解释每像素多项式光照函数和增强算子",,https://www.cs.jhu.edu/~misha/ReadingSeminar/Papers/Malzbender01.pdf,missing_pdf,下载PDF并做笔记
P04,classic,1,medium,Polynomial Texture Map File Format 1.2,2001,format,PTM format,"理解.ptm文件结构、系数、scale/bias和归档格式",,https://shiftleft.com/mirrors/www.hpl.hp.com/techreports/2001/HPL-2001-104.pdf,missing_pdf,下载格式规范
P05,classic,2,high,Mudge 2006 RTI Rock Art Multiple Viewpoint,2006,paper,H-RTI rock art,"野外岩画/多视角RTI经典案例，接近不可移动石刻",papers/03_Mudge_2006_RTI_Rock_Art_Multiple_Viewpoint.pdf,,downloaded,精读野外采集方法
P06,classic,2,medium,Mudge 2005 RTI Coins Grand St Bernard,2005,paper,coins and RTI,"硬币RTI和3D扫描互补案例，适合小样本实验",papers/04_Mudge_2005_RTI_Coins_Grand_St_Bernard.pdf,,downloaded,对照硬币实验
P07,classic,2,high,Dynamic Shading Enhancement for RTI,2010,paper,RTI enhancement,"理解diffuse gain/specular enhancement等增强模式的算法背景",papers/05_Palma_2010_Dynamic_Shading_Enhancement_RTI.pdf,,downloaded,整理增强模式表
P08,cases,2,high,RTI Capturing Gravestone Detail,2017,paper,weathered inscriptions,"风化墓碑文字、刻工和苔藓/噪声问题，与碑刻和画像石高度相似",papers/06_RTI_Gravestone_Detail.pdf,,downloaded,精读并迁移到碑刻
P09,cases,2,high,RTI as a New Documentation and Analysis Method in Epigraphical Studies,2024,paper,epigraphy,"碑铭学RTI综述，适合建立石刻释读方法论",papers/07_RTI_in_Epigraphical_Studies.pdf,https://dergipark.org.tr/en/download/article-file/3691809,downloaded,精读碑铭学流程
P10,cases,2,high,Archaeological applications of polynomial texture mapping,2010,paper,archaeology PTM,"PTM/RTI在楔形文字、钱币、岩画、石材、考古记录中的综合经典案例",,https://eprints.soton.ac.uk/156253/,missing_pdf,下载PDF并补读
P11,cases,2,medium,Antikythera Mechanism PTM datasets,2005,dataset,PTM inscriptions,"开放PTM数据，展示PTM对铭文和机械碎片识读的价值",,http://archive.nyu.edu/handle/2451/44439,external_dataset,记录下载策略不直接入库
P12,han,3,high,Han Relief From Rubbing Height Map,,paper,Han rubbing relief,"从拓片恢复汉画像浮雕效果，是数字拓片和高度图路线的核心资料",papers/12_Han_Relief_From_Rubbing_Height_Map.pdf,,downloaded,精读并复现思路
